state_name,inec_code
ABIA,AB
ADAMAWA,AD
AKWA IBOM,AK
ANAMBRA,AN
BAUCHI,BA
BAYELSA,BY
BENUE,BN
BORNO,BR
CROSS RIVER,CR
DELTA,DT
EBONYI,EB
EDO,ED
EKITI,EK
ENUGU,EN
FCT,FCT
GOMBE,GM
IMO,IM
JIGAWA,JG
KADUNA,KD
KANO,KN
KATSINA,KT
KEBBI,KB
KOGI,KG
KWARA,KW
LAGOS,LA
NASSARAWA,NW
NIGER,NG
OGUN,OG
ONDO,OD
OSUN,OS
OYO,OY
PLATEAU,PL
RIVERS,RV
SOKOTO,SO
TARABA,TR
YOBE,YB
ZAMFARA,ZF
